date,rainfall_mm,temperature_c,wind_speed_kmh,humidity_percent,pressure_hpa,flood_occurred,cyclone_occurred
2021-01-01,1.1,23.4,13.4,62.8,1009.8,0,0
2021-01-02,0.6,23.1,12.1,64.4,1009.2,0,0
2021-01-03,1.2,23.8,13.3,62.5,1010.2,0,0
2021-01-04,0.0,23.4,15.2,61.8,1008.8,0,0
2021-01-05,0.9,22.5,12.1,58.4,1008.1,0,0
2021-01-06,1.0,22.5,15.1,60.8,1007.9,0,0
2021-01-07,0.5,23.9,13.2,67.1,1006.5,0,0
2021-01-08,0.5,24.2,14.1,62.4,1005.8,0,0
2021-01-09,0.8,24.4,16.1,63.7,1005.4,0,0
2021-01-10,0.5,24.7,14.4,53.5,1005.8,0,0
2021-01-11,0.0,25.4,14.6,59.2,1005.6,0,0
2021-01-12,0.8,24.7,14.0,65.4,1005.3,0,0
2021-01-13,0.6,25.8,14.5,66.1,1005.9,0,0
2021-01-14,0.0,24.6,14.2,60.9,1007.6,0,0
2021-01-15,0.0,25.6,12.4,59.6,1006.4,0,0
2021-01-16,0.1,25.1,12.4,56.5,1007.9,0,0
2021-01-17,0.0,24.7,12.1,63.1,1008.4,0,0
2021-01-18,0.8,23.0,12.3,66.0,1007.8,0,0
2021-01-19,1.0,23.5,13.7,68.3,1006.7,0,0
2021-01-20,0.0,23.4,14.0,62.3,1006.7,0,0
2021-01-21,0.8,23.7,20.1,58.6,1005.6,0,0
2021-01-22,0.8,24.8,12.6,63.1,1005.4,0,0
2021-01-23,0.1,27.0,20.7,55.4,1007.0,0,0
2021-01-24,0.1,26.4,18.4,60.0,1005.9,0,0
2021-01-25,0.0,26.0,17.4,60.4,1008.1,0,0
2021-01-26,1.3,25.9,12.1,63.1,1007.9,0,0
2021-01-27,0.0,27.5,12.4,64.8,1007.9,0,0
2021-01-28,0.9,26.4,12.3,61.9,1007.3,0,0
2021-01-29,0.5,25.4,13.9,54.1,1008.2,0,0
2021-01-30,0.1,27.3,14.5,69.6,1008.4,0,0
2021-01-31,0.0,26.9,12.1,57.1,1007.3,0,0
2021-02-01,1.3,25.5,14.8,67.3,1008.9,0,0
2021-02-02,0.0,25.7,13.6,57.6,1010.6,0,0
2021-02-03,0.0,26.7,14.5,61.8,1009.7,0,0
2021-02-04,0.7,25.5,15.9,63.5,1008.1,0,0
2021-02-05,0.2,25.9,12.7,60.2,1007.9,0,0
2021-02-06,0.6,26.2,15.1,54.6,1009.1,0,0
2021-02-07,1.2,26.1,18.9,52.5,1007.9,0,0
2021-02-08,0.0,25.9,12.2,56.6,1008.7,0,0
2021-02-09,0.5,24.8,12.2,58.3,1007.9,0,0
2021-02-10,0.9,26.2,14.5,60.0,1009.4,0,0
2021-02-11,0.3,26.3,13.9,63.5,1009.8,0,0
