date,rainfall_mm,temperature_c,wind_speed_kmh,humidity_percent,pressure_hpa,flood_occurred,cyclone_occurred
2021-01-01,0.5,22.4,12.0,65.6,1011.9,0,0
2021-01-02,0.6,22.8,10.5,64.5,1008.4,0,0
2021-01-03,0.9,22.1,11.9,68.3,1009.4,0,0
2021-01-04,0.7,22.1,15.4,69.9,1009.7,0,0
2021-01-05,0.0,22.3,10.5,67.6,1010.2,0,0
2021-01-06,0.2,20.9,10.4,60.9,1008.6,0,0
2021-01-07,0.7,21.4,9.8,67.9,1006.0,0,0
2021-01-08,0.3,21.3,9.3,65.5,1009.5,0,0
2021-01-09,0.7,21.5,10.4,60.3,1008.4,0,0
2021-01-10,1.0,22.1,9.2,70.5,1010.2,0,0
2021-01-11,0.0,20.6,17.0,58.4,1010.1,0,0
2021-01-12,0.0,21.3,9.1,61.6,1010.4,0,0
2021-01-13,0.0,21.7,11.0,66.0,1010.8,0,0
2021-01-14,0.0,22.0,11.2,58.5,1011.0,0,0
2021-01-15,0.5,21.6,10.0,59.8,1012.2,0,0
2021-01-16,0.2,22.3,11.4,64.5,1010.9,0,0
2021-01-17,0.0,23.6,11.9,64.4,1010.3,0,0
2021-01-18,0.7,23.4,9.9,59.4,1008.9,0,0
2021-01-19,0.3,22.8,9.1,68.4,1009.3,0,0
2021-01-20,1.5,21.9,10.2,62.6,1010.6,0,0
2021-01-21,0.7,23.2,10.6,70.9,1011.0,0,0
2021-01-22,0.0,22.7,12.4,59.2,1009.9,0,0
2021-01-23,0.0,23.1,11.7,65.5,1008.7,0,0
2021-01-24,0.9,23.2,13.8,64.2,1010.8,0,0
2021-01-25,0.5,24.0,14.8,63.4,1010.0,0,0
2021-01-26,0.4,24.6,11.8,66.4,1010.1,0,0
2021-01-27,0.0,24.4,9.4,68.9,1009.3,0,0
2021-01-28,0.4,25.3,12.0,59.7,1008.7,0,0
2021-01-29,1.0,25.3,9.4,63.8,1010.5,0,0
2021-01-30,0.5,25.4,10.2,50.3,1010.9,0,0
2021-01-31,0.0,26.6,12.6,58.6,1010.4,0,0
2021-02-01,0.0,25.6,12.0,68.9,1009.9,0,0
2021-02-02,0.7,23.3,10.0,63.6,1010.3,0,0
2021-02-03,0.9,23.6,11.0,61.2,1010.3,0,0
2021-02-04,0.0,24.9,11.2,63.1,1012.2,0,0
2021-02-05,0.7,25.1,11.1,64.1,1010.8,0,0
2021-02-06,0.8,25.9,11.8,57.5,1013.2,0,0
2021-02-07,0.0,26.8,12.1,66.3,1012.2,0,0
2021-02-08,0.0,27.0,9.1,58.3,1009.9,0,0
2021-02-09,0.5,26.4,9.3,66.7,1008.9,0,0
2021-02-10,0.8,25.4,11.2,58.3,1007.5,0,0
2021-02-11,0.5,25.9,11.7,71.2,1006.7,0,0
2021-02-12,0.0,25.1,9.5,63.3,1006.8,0,0
2021-02-13,0.8,26.6,10.7,64.8,1008.7,0,0
2021-02-14,0.0,27.1,11.5,55.0,1008.9,0,0
2021-02-15,1.1,28.0,12.4,56.4,1008.2,0,0
2021-02-16,0.0,28.2,12.6,52.0,1009.2,0,0
2021-02-17,0.2,26.2,12.6,59.9,1008.9,0,0
2021-02-18,0.1,27.7,14.4,62.0,1008.7,0,0
2021-02-19,0.0,27.6,11.8,57.7,1009.2,0,0
2021-02-20,0.0,27.0,11.8,65.3,1008.3,0,0
2021-02-21,0.0,26.2,15.8,58.9,1010.2,0,0
2021-02-22,0.0,26.3,11.2,58.8,1009.4,0,0
2021-02-23,0.0,26.5,12.7,55.4,1009.5,0,0
2021-02-24,0.8,26.5,10.7,64.2,1009.7,0,0
2021-02-25,0.3,26.6,12.2,55.7,1008.5,0,0
2021-02-26,1.0,27.2,9.6,67.5,1011.0,0,0
2021-02-27,0.0,27.6,10.2,59.8,1009.5,0,0
2021-02-28,0.6,29.3,10.2,63.3,1010.2,0,0
2021-03-01,0.9,29.5,9.0,56.9,1010.8,0,0
2021-03-02,0.8,30.0,10.0,60.5,1010.3,0,0
2021-03-03,1.1,29.9,10.1,54.2,1008.4,0,0
2021-03-04,1.6,29.0,10.8,58.8,1008.3,0,0
2021-03-05,0.9,30.2,14.7,54.6,1008.5,0,0
2021-03-06,1.5,29.1,15.6,57.9,1009.5,0,0
2021-03-07,0.4,28.3,12.0,58.4,1009.4,0,0
2021-03-08,1.5,28.9,11.8,56.2,1010.7,0,0
2021-03-09,0.2,29.5,10.2,61.5,1009.7,0,0
2021-03-10,0.8,29.1,9.6,54.4,1010.3,0,0
2021-03-11,0.7,29.7,10.5,56.4,1010.5,0,0
2021-03-12,0.8,27.4,11.9,65.3,1009.8,0,0
2021-03-13,0.3,28.9,10.7,56.0,1011.7,0,0
2021-03-14,1.4,28.8,10.0,59.0,1010.4,0,0
2021-03-15,0.7,29.5,10.9,53.7,1009.9,0,0
2021-03-16,0.5,29.5,9.1,56.3,1010.9,0,0
2021-03-17,0.5,29.8,10.5,57.1,1010.8,0,0
2021-03-18,3.9,28.2,14.9,57.9,1010.8,0,0
2021-03-19,2.1,28.5,9.7,56.8,1010.0,0,0
2021-03-20,0.1,29.7,14.1,63.0,1010.5,0,0
2021-03-21,1.5,29.6,12.2,62.3,1015.0,0,0
2021-03-22,0.3,30.1,9.8,55.2,1011.8,0,0
2021-03-23,1.1,30.6,9.4,58.6,1011.7,0,0
2021-03-24,0.3,30.7,10.9,55.2,1011.8,0,0
2021-03-25,4.4,31.5,15.5,59.7,1010.5,0,0
2021-03-26,3.4,31.6,13.1,53.7,1011.4,0,0
2021-03-27,0.6,28.5,9.3,59.9,1011.0,0,0
2021-03-28,0.6,28.1,9.5,61.5,1011.7,0,0
2021-03-29,3.5,29.5,11.1,56.3,1011.6,0,0
2021-03-30,3.3,29.9,16.4,67.6,1008.8,0,0
2021-03-31,1.5,30.6,10.7,59.3,1011.7,0,0
2021-04-01,6.1,30.8,14.4,58.7,1011.6,0,0
2021-04-02,3.1,31.5,10.4,52.7,1012.3,0,0
2021-04-03,4.9,32.1,10.1,49.7,1012.1,0,0
2021-04-04,1.8,31.5,14.4,64.8,1010.3,0,0
2021-04-05,1.9,31.7,11.4,56.0,1007.6,0,0
2021-04-06,2.2,31.3,11.9,57.0,1008.6,0,0
2021-04-07,5.5,31.7,13.8,53.7,1007.1,0,0
2021-04-08,0.8,32.3,10.7,58.0,1007.4,0,0
2021-04-09,2.8,31.7,12.9,65.4,1008.4,0,0
2021-04-10,1.8,31.4,9.2,55.1,1010.0,0,0
2021-04-11,3.1,32.7,9.4,56.7,1010.2,0,0
2021-04-12,3.5,31.9,11.6,57.5,1009.5,0,0
2021-04-13,3.8,30.9,10.5,52.8,1010.4,0,0
2021-04-14,5.9,31.5,11.9,58.9,1011.6,0,0
2021-04-15,2.9,31.5,12.9,57.6,1012.9,0,0
2021-04-16,1.7,29.8,11.7,57.2,1010.3,0,0
2021-04-17,1.7,30.8,12.1,62.8,1010.4,0,0
2021-04-18,1.7,31.7,11.0,45.5,1011.1,0,0
2021-04-19,3.9,30.8,10.6,61.1,1009.8,0,0
2021-04-20,10.3,32.6,17.4,65.9,1008.9,0,0
2021-04-21,2.8,31.7,9.8,58.6,1008.8,0,0
2021-04-22,2.9,33.0,17.4,54.3,1009.6,0,0
2021-04-23,5.0,32.9,12.3,54.1,1009.8,0,0
2021-04-24,5.2,32.4,12.3,64.4,1010.5,0,0
2021-04-25,5.6,33.3,9.7,56.6,1009.3,0,0
2021-04-26,3.0,34.2,10.5,54.4,1009.4,0,0
2021-04-27,3.3,32.3,13.3,65.6,1008.5,0,0
2021-04-28,9.2,33.0,9.6,55.5,1007.4,0,0
2021-04-29,5.1,31.8,10.7,56.0,1007.0,0,0
2021-04-30,8.3,31.1,15.0,61.9,1007.5,0,0
2021-05-01,6.2,31.4,9.7,54.0,1008.8,0,0
2021-05-02,2.6,31.5,10.4,57.0,1008.8,0,0
2021-05-03,7.9,31.5,12.5,63.9,1009.3,0,0
2021-05-04,5.2,31.5,10.2,55.9,1008.8,0,0
2021-05-05,1.7,33.0,12.9,54.6,1008.8,0,0
2021-05-06,2.4,33.3,15.1,54.9,1011.7,0,0
2021-05-07,20.4,32.6,13.7,66.5,1011.9,0,0
2021-05-08,4.7,33.1,12.2,54.7,1010.7,0,0
2021-05-09,4.4,34.4,9.7,62.6,1010.7,0,0
2021-05-10,10.4,34.0,12.1,60.9,1010.8,0,0
2021-05-11,7.5,33.6,11.5,54.5,1010.2,0,0
2021-05-12,22.2,32.3,12.3,74.1,1007.7,0,0
2021-05-13,2.9,31.2,14.1,57.6,1008.0,0,0
2021-05-14,8.7,31.4,10.9,59.8,1009.8,0,0
2021-05-15,18.7,31.4,9.9,65.9,1010.0,0,0
2021-05-16,2.1,31.5,12.0,60.7,1011.3,0,0
2021-05-17,3.0,32.1,14.4,62.8,1011.7,0,0
2021-05-18,18.6,31.3,9.8,65.3,1008.4,0,0
2021-05-19,5.7,32.0,10.1,61.9,1009.3,0,0
2021-05-20,24.1,32.1,9.8,65.7,1012.1,0,0
2021-05-21,9.2,30.9,10.6,63.0,1010.3,0,0
2021-05-22,22.5,30.8,10.6,74.7,1010.8,0,0
2021-05-23,5.6,31.2,12.2,60.9,1013.2,0,0
2021-05-24,3.3,31.7,12.2,55.1,1010.4,0,0
2021-05-25,15.4,32.1,15.8,66.5,1010.7,0,0
2021-05-26,15.3,33.0,9.8,58.1,1010.0,0,0
2021-05-27,11.9,33.4,9.9,56.9,1011.1,0,0
2021-05-28,6.9,31.0,15.7,53.4,1012.3,0,0
2021-05-29,8.5,32.4,17.2,61.4,1011.0,0,0
2021-05-30,4.9,32.3,12.1,54.0,1010.5,0,0
2021-05-31,16.1,32.2,10.5,66.0,1012.0,0,0
2021-06-01,13.2,31.8,11.7,61.2,1011.2,0,0
2021-06-02,16.3,33.5,11.1,63.5,1010.2,0,0
2021-06-03,14.3,33.7,11.0,70.3,1009.1,0,0
2021-06-04,3.2,33.2,9.9,51.9,1010.0,0,0
2021-06-05,9.9,32.5,11.8,61.6,1007.8,0,0
2021-06-06,4.5,31.8,11.9,59.7,1009.8,0,0
2021-06-07,14.9,31.9,11.8,68.1,1009.2,0,0
2021-06-08,6.1,32.8,10.6,54.5,1008.0,0,0
2021-06-09,15.6,31.9,11.5,68.9,1009.7,0,0
2021-06-10,24.7,31.6,11.2,67.1,1009.8,0,0
2021-06-11,46.2,32.1,11.0,91.3,1008.8,0,0
2021-06-12,5.4,32.0,11.5,59.2,1009.9,0,0
2021-06-13,43.1,32.1,13.0,75.1,1012.4,1,0
2021-06-14,11.3,33.0,14.7,66.8,1013.7,0,0
2021-06-15,18.5,32.3,12.4,66.0,1012.7,0,0
2021-06-16,24.3,33.2,13.3,72.6,1011.4,0,0
2021-06-17,13.8,32.7,13.0,60.4,1010.5,0,0
2021-06-18,5.4,31.5,15.1,64.1,1010.7,0,0
2021-06-19,47.9,30.9,13.5,88.5,1008.8,0,0
2021-06-20,5.6,31.3,11.0,61.2,1006.7,0,0
2021-06-21,2.7,30.4,10.3,61.6,1008.1,0,0
2021-06-22,16.7,32.3,12.7,58.7,1011.0,0,0
2021-06-23,15.1,32.7,12.1,59.4,1009.1,0,0
2021-06-24,31.5,31.7,11.0,75.5,1009.5,0,0
2021-06-25,12.9,30.9,10.4,66.2,1009.9,0,0
2021-06-26,37.3,31.5,10.3,77.4,1010.0,0,0
2021-06-27,21.8,32.4,13.5,70.3,1009.8,0,0
2021-06-28,4.8,33.4,14.3,60.2,1010.7,0,0
2021-06-29,6.4,32.3,10.3,66.6,1010.0,0,0
2021-06-30,5.5,32.5,13.0,69.2,1010.2,0,0
2021-07-01,34.8,33.0,14.1,77.1,1009.6,0,0
2021-07-02,21.4,31.3,14.0,71.0,1007.5,0,0
2021-07-03,22.7,31.2,10.7,63.7,1008.6,0,0
2021-07-04,5.7,31.5,11.9,60.0,1008.6,0,0
2021-07-05,5.4,31.2,14.3,54.9,1007.0,0,0
2021-07-06,36.3,31.7,13.6,82.8,1008.7,0,0
2021-07-07,23.9,31.2,12.7,71.2,1007.8,0,0
2021-07-08,2.2,30.4,14.4,62.0,1009.6,0,0
2021-07-09,45.3,30.7,10.4,83.5,1008.0,0,0
2021-07-10,15.0,29.0,10.4,66.6,1009.8,0,0
2021-07-11,30.5,29.6,12.6,79.9,1009.8,1,0
2021-07-12,34.6,29.8,12.7,82.1,1009.8,0,0
2021-07-13,14.8,28.9,15.8,65.4,1012.7,0,0
2021-07-14,8.8,29.1,10.5,53.8,1010.6,0,0
2021-07-15,9.0,30.1,13.0,53.2,1011.7,0,0
2021-07-16,48.9,30.5,11.1,89.1,1009.4,0,0
2021-07-17,7.1,31.0,11.9,64.2,1011.0,0,0
2021-07-18,9.8,30.1,14.9,52.0,1010.4,0,0
2021-07-19,14.7,30.3,13.6,69.6,1006.5,0,0
2021-07-20,15.7,32.2,17.0,58.5,1009.4,0,0
2021-07-21,11.6,31.5,10.5,62.9,1008.7,0,0
2021-07-22,22.6,31.7,10.9,74.6,1009.8,0,0
2021-07-23,16.8,31.5,14.6,62.4,1009.4,0,0
2021-07-24,12.8,30.4,10.7,69.2,1009.6,0,0
2021-07-25,8.8,30.3,12.3,65.3,1009.2,0,0
2021-07-26,31.5,30.8,11.4,77.3,1008.2,0,0
2021-07-27,9.4,29.2,11.5,66.2,1010.3,0,0
2021-07-28,17.4,29.5,10.6,64.5,1012.8,0,0
2021-07-29,23.4,29.6,15.6,74.5,1011.6,0,0
2021-07-30,21.6,28.5,10.6,73.9,1012.0,0,0
2021-07-31,27.7,28.1,13.0,76.2,1011.5,0,0
2021-08-01,6.0,26.9,12.4,64.8,1012.5,0,0
2021-08-02,16.2,28.3,13.0,69.1,1008.2,0,0
2021-08-03,10.7,29.8,10.9,60.4,1009.1,0,0
2021-08-04,37.5,29.8,10.8,80.1,1009.4,0,0
2021-08-05,14.2,29.4,12.6,67.3,1009.1,0,0
2021-08-06,55.3,28.8,12.0,91.8,1009.4,1,0
2021-08-07,7.5,27.5,15.5,74.2,1007.2,0,0
2021-08-08,16.9,28.9,10.3,73.4,1009.6,0,0
2021-08-09,19.4,28.9,13.5,62.7,1010.9,0,0
2021-08-10,6.2,28.4,13.4,66.5,1010.1,0,0
2021-08-11,48.6,28.0,10.4,93.1,1012.3,0,0
2021-08-12,17.6,27.7,11.2,71.3,1013.4,0,0
2021-08-13,15.2,26.6,12.9,61.0,1009.9,0,0
2021-08-14,24.6,26.2,12.1,77.1,1010.7,0,0
2021-08-15,24.8,27.0,12.4,71.4,1010.9,0,0
2021-08-16,3.7,26.1,11.0,62.9,1010.3,0,0
2021-08-17,4.0,25.6,13.0,63.8,1011.6,0,0
2021-08-18,16.1,25.9,10.3,68.4,1012.0,0,0
2021-08-19,32.8,26.9,13.1,67.5,1014.2,0,0
2021-08-20,24.0,27.2,11.7,74.2,1011.6,0,0
2021-08-21,17.4,26.4,12.0,79.4,1010.1,0,0
2021-08-22,11.8,26.3,11.7,60.8,1011.5,0,0
2021-08-23,20.6,24.5,13.3,80.0,1011.0,0,0
2021-08-24,43.6,26.6,12.2,89.6,1012.0,0,0
2021-08-25,11.5,27.2,11.5,63.4,1011.7,0,0
2021-08-26,17.6,27.8,10.9,69.7,1009.2,0,0
2021-08-27,13.6,27.6,12.1,66.9,1011.8,0,0
2021-08-28,15.6,25.5,12.2,77.8,1011.2,0,0
2021-08-29,26.1,25.3,11.2,75.8,1009.5,0,0
2021-08-30,14.1,25.1,10.9,65.4,1009.3,0,0
2021-08-31,15.4,26.9,10.7,67.1,1009.9,0,0
2021-09-01,2.4,26.2,10.3,59.1,1010.1,0,0
2021-09-02,13.2,24.7,11.9,61.1,1008.7,0,0
2021-09-03,4.0,24.9,16.1,62.3,1008.5,0,0
2021-09-04,18.2,26.3,11.8,81.2,1008.6,0,0
2021-09-05,6.3,25.7,14.2,66.7,1010.3,0,0
2021-09-06,39.6,25.4,10.0,82.8,1011.5,0,0
2021-09-07,15.4,24.9,11.9,65.1,1008.8,0,0
2021-09-08,19.6,24.4,13.9,67.8,1010.0,0,0
2021-09-09,37.7,23.0,10.0,89.2,1010.7,0,0
2021-09-10,7.6,22.8,10.0,65.1,1010.6,0,0
2021-09-11,3.9,23.0,13.2,64.1,1011.3,0,0
2021-09-12,10.5,23.5,12.0,70.6,1010.0,0,0
2021-09-13,1.4,22.0,10.8,63.3,1012.3,0,0
2021-09-14,18.0,23.7,11.0,82.2,1012.0,0,0
2021-09-15,6.5,24.9,11.8,61.0,1011.1,0,0
2021-09-16,6.9,24.2,18.9,80.8,1011.1,0,0
2021-09-17,5.7,23.3,13.5,72.6,1008.5,0,0
2021-09-18,3.4,23.5,10.7,66.4,1006.9,0,0
2021-09-19,8.2,21.8,13.5,69.6,1007.1,0,0
2021-09-20,1.5,21.3,13.2,63.7,1008.8,0,0
2021-09-21,2.1,22.4,12.5,62.7,1009.6,0,0
2021-09-22,2.3,21.6,10.8,61.2,1008.0,0,0
2021-09-23,8.5,21.0,12.7,68.3,1008.1,0,0
2021-09-24,7.3,21.0,10.6,58.7,1007.4,0,0
2021-09-25,3.3,21.0,11.8,67.0,1009.6,0,0
2021-09-26,20.9,23.0,10.9,68.6,1009.6,0,0
2021-09-27,6.3,23.2,12.8,66.1,1007.3,0,0
2021-09-28,15.8,23.3,11.3,73.4,1007.8,0,0
2021-09-29,8.3,22.9,9.5,60.5,1009.2,0,0
2021-09-30,3.7,22.6,9.7,65.0,1010.8,0,0
2021-10-01,2.8,20.8,10.5,55.1,1011.1,0,0
2021-10-02,3.6,20.3,11.6,70.3,1010.2,0,0
2021-10-03,3.8,20.3,11.8,66.6,1012.0,0,0
2021-10-04,8.8,20.7,10.4,72.4,1010.8,0,0
2021-10-05,2.4,21.4,17.6,59.6,1011.4,0,0
2021-10-06,3.4,22.0,14.1,68.2,1012.2,0,0
2021-10-07,5.0,22.8,10.0,64.6,1012.8,0,0
2021-10-08,100.3,20.1,84.9,95.6,996.9,1,1
2021-10-09,30.1,21.0,99.9,80.0,995.5,1,1
2021-10-10,24.9,21.0,60.7,76.1,993.9,1,1
2021-10-11,60.3,19.3,51.7,94.3,990.7,1,1
2021-10-12,10.4,22.4,11.8,73.0,1011.5,1,0
2021-10-13,1.7,22.5,15.5,60.5,1011.4,0,0
2021-10-14,2.1,20.8,10.8,65.1,1010.6,0,0
2021-10-15,4.8,20.8,11.9,59.8,1010.9,0,0
2021-10-16,6.4,21.5,11.1,70.8,1009.5,0,0
2021-10-17,3.2,21.6,10.1,59.3,1011.7,0,0
2021-10-18,5.4,21.3,16.3,66.3,1011.6,0,0
2021-10-19,4.5,20.1,10.3,69.0,1012.1,0,0
2021-10-20,0.8,19.7,10.0,72.4,1011.0,0,0
