date,rainfall_mm,temperature_c,wind_speed_kmh,humidity_percent,pressure_hpa,flood_occurred,cyclone_occurred
2021-01-01,2.6,26.1,10.6,59.7,1011.7,0,0
2021-01-02,1.0,26.8,14.5,56.0,1012.6,0,0
2021-01-03,0.1,26.8,10.3,56.3,1014.0,0,0
2021-01-04,0.1,25.0,12.9,63.3,1012.1,0,0
2021-01-05,0.0,25.2,10.2,67.5,1010.9,0,0
2021-01-06,0.2,26.0,12.0,59.1,1013.6,0,0
2021-01-07,0.0,24.4,11.5,62.2,1013.1,0,0
2021-01-08,0.3,24.0,15.5,66.2,1010.1,0,0
2021-01-09,0.9,23.4,14.2,68.4,1010.4,0,0
2021-01-10,0.0,24.0,10.9,56.3,1010.2,0,0
2021-01-11,0.3,25.0,12.7,62.1,1010.6,0,0
2021-01-12,0.0,25.3,12.7,61.6,1009.2,0,0
2021-01-13,0.6,26.1,11.5,55.9,1011.6,0,0
2021-01-14,0.0,25.1,14.7,58.5,1010.4,0,0
2021-01-15,1.3,25.3,12.2,60.1,1008.9,0,0
2021-01-16,1.0,25.6,10.7,71.6,1011.0,0,0
2021-01-17,0.0,25.8,14.9,53.0,1010.4,0,0
2021-01-18,0.2,26.9,11.6,60.1,1009.9,0,0
2021-01-19,0.0,26.4,12.7,61.6,1010.7,0,0
2021-01-20,0.9,26.7,10.4,58.9,1010.9,0,0
2021-01-21,0.0,26.5,12.1,61.1,1011.2,0,0
2021-01-22,0.9,27.1,14.0,62.8,1013.4,0,0
2021-01-23,0.3,26.4,11.6,62.5,1012.6,0,0
2021-01-24,0.3,26.7,10.1,55.8,1012.8,0,0
2021-01-25,0.7,26.0,12.2,59.3,1012.1,0,0
2021-01-26,0.2,26.9,12.9,63.3,1008.6,0,0
2021-01-27,0.8,27.6,10.8,53.7,1011.4,0,0
2021-01-28,0.0,28.7,16.2,53.7,1012.2,0,0
2021-01-29,0.5,27.6,11.2,66.5,1011.7,0,0
2021-01-30,0.4,27.4,10.2,61.3,1009.9,0,0
2021-01-31,1.1,29.2,11.1,62.0,1009.5,0,0
2021-02-01,1.2,27.8,13.0,66.5,1008.7,0,0
2021-02-02,1.1,27.9,11.2,49.9,1010.1,0,0
2021-02-03,1.1,27.0,17.7,56.6,1008.3,0,0
2021-02-04,0.0,26.6,10.7,66.3,1008.0,0,0
2021-02-05,0.7,27.3,10.9,56.5,1009.5,0,0
2021-02-06,0.0,25.9,10.4,63.2,1009.0,0,0
2021-02-07,1.4,27.3,10.6,57.3,1009.8,0,0
2021-02-08,0.0,27.3,12.2,54.1,1009.0,0,0
2021-02-09,0.3,26.9,12.6,66.5,1009.7,0,0
2021-02-10,0.8,25.7,12.9,61.8,1011.0,0,0
2021-02-11,0.8,26.1,17.3,63.0,1009.6,0,0
2021-02-12,0.4,26.5,13.4,59.4,1009.9,0,0
2021-02-13,0.0,27.3,10.4,53.6,1008.9,0,0
2021-02-14,1.4,26.9,11.0,66.6,1009.0,0,0
2021-02-15,1.5,29.0,11.7,61.4,1011.6,0,0
2021-02-16,0.0,29.3,11.3,48.6,1009.3,0,0
2021-02-17,0.0,30.3,14.2,57.1,1008.5,0,0
2021-02-18,0.8,29.3,11.8,58.3,1010.4,0,0
2021-02-19,0.4,28.6,11.9,62.3,1011.1,0,0
2021-02-20,1.1,27.6,14.3,61.8,1009.2,0,0
2021-02-21,0.0,28.5,11.6,61.1,1007.9,0,0
2021-02-22,0.2,28.2,14.0,66.1,1010.1,0,0
2021-02-23,1.3,27.9,14.5,52.3,1011.7,0,0
2021-02-24,0.8,27.1,12.5,64.0,1011.6,0,0
2021-02-25,0.6,29.1,10.4,55.4,1013.3,0,0
2021-02-26,1.9,29.6,15.0,57.2,1011.6,0,0
2021-02-27,0.1,29.0,16.4,66.7,1012.0,0,0
2021-02-28,0.7,28.8,15.0,60.5,1012.7,0,0
2021-03-01,0.8,28.7,14.9,56.5,1010.2,0,0
2021-03-02,1.0,29.4,12.9,60.0,1011.6,0,0
2021-03-03,0.4,29.5,11.3,51.8,1011.5,0,0
2021-03-04,1.1,28.1,11.5,61.6,1011.3,0,0
2021-03-05,0.6,28.2,12.5,62.0,1011.5,0,0
2021-03-06,0.6,28.1,10.9,59.3,1010.5,0,0
2021-03-07,0.6,29.4,15.4,54.3,1012.9,0,0
2021-03-08,1.4,28.2,15.4,67.4,1012.0,0,0
2021-03-09,1.1,28.3,10.4,59.5,1012.3,0,0
2021-03-10,1.2,28.5,10.2,66.7,1010.2,0,0
2021-03-11,0.8,28.6,12.7,65.3,1011.1,0,0
2021-03-12,0.7,28.6,10.7,52.6,1010.9,0,0
2021-03-13,0.6,28.7,12.7,56.0,1011.3,0,0
2021-03-14,4.1,30.1,10.3,54.7,1012.3,0,0
2021-03-15,0.8,29.6,11.4,64.0,1011.3,0,0
2021-03-16,2.0,28.1,12.9,58.0,1009.4,0,0
2021-03-17,1.2,29.3,12.2,57.2,1008.6,0,0
2021-03-18,0.5,30.1,12.3,57.5,1009.0,0,0
2021-03-19,1.0,29.8,14.2,62.1,1009.0,0,0
2021-03-20,3.4,29.2,15.4,60.8,1010.1,0,0
2021-03-21,2.2,29.3,12.2,59.1,1012.1,0,0
2021-03-22,2.5,27.9,13.6,67.5,1011.4,0,0
2021-03-23,1.6,28.7,14.4,62.3,1012.3,0,0
2021-03-24,3.1,29.5,11.4,57.1,1011.5,0,0
2021-03-25,0.8,29.9,13.9,58.4,1012.0,0,0
2021-03-26,0.5,29.8,14.7,61.2,1011.8,0,0
2021-03-27,1.6,31.4,10.5,55.6,1012.1,0,0
2021-03-28,3.2,30.9,12.7,58.9,1013.7,0,0
2021-03-29,1.7,30.1,10.5,59.0,1011.6,0,0
2021-03-30,2.2,31.0,12.3,65.9,1011.2,0,0
2021-03-31,5.1,30.5,11.6,59.7,1011.1,0,0
2021-04-01,3.1,32.2,10.8,58.2,1011.3,0,0
2021-04-02,4.4,32.8,10.8,55.8,1011.8,0,0
2021-04-03,3.6,33.4,10.2,59.3,1012.4,0,0
2021-04-04,3.2,33.9,12.3,56.2,1010.8,0,0
2021-04-05,4.7,34.9,15.4,50.7,1009.2,0,0
2021-04-06,7.6,33.1,13.1,63.0,1011.1,0,0
2021-04-07,0.9,32.5,10.3,56.9,1011.1,0,0
2021-04-08,2.0,31.5,11.9,55.8,1010.1,0,0
2021-04-09,3.3,32.2,11.0,58.1,1010.3,0,0
2021-04-10,0.4,31.1,13.7,54.1,1009.9,0,0
2021-04-11,6.1,31.0,15.3,63.9,1007.8,0,0
2021-04-12,2.8,32.3,13.5,54.1,1006.7,0,0
2021-04-13,4.5,31.5,13.9,67.4,1009.1,0,0
2021-04-14,0.7,31.2,13.8,57.8,1010.2,0,0
2021-04-15,5.8,30.3,11.5,62.9,1010.7,0,0
2021-04-16,7.0,30.5,10.4,65.7,1010.7,0,0
2021-04-17,9.2,30.7,10.7,61.8,1011.0,0,0
2021-04-18,4.3,30.6,11.0,61.2,1011.7,0,0
2021-04-19,8.5,31.2,11.5,67.9,1010.7,0,0
2021-04-20,3.0,29.7,16.4,59.0,1010.5,0,0
2021-04-21,3.8,30.7,11.3,60.5,1012.3,0,0
2021-04-22,1.4,30.3,12.6,57.9,1011.5,0,0
2021-04-23,14.5,29.0,11.9,61.0,1011.4,0,0
2021-04-24,2.3,30.1,13.3,73.8,1011.9,0,0
2021-04-25,2.4,30.7,13.4,64.4,1012.7,0,0
2021-04-26,5.4,29.8,10.6,65.6,1012.2,0,0
2021-04-27,6.0,29.5,13.4,61.8,1010.5,0,0
2021-04-28,2.4,29.7,15.5,59.9,1010.4,0,0
2021-04-29,5.4,31.2,11.3,64.2,1011.3,0,0
2021-04-30,7.4,30.4,11.6,58.6,1010.3,0,0
2021-05-01,3.1,31.0,11.5,59.6,1009.5,0,0
2021-05-02,3.6,31.8,13.9,62.2,1010.0,0,0
2021-05-03,2.7,31.4,16.9,55.4,1009.6,0,0
2021-05-04,12.6,30.7,13.8,67.4,1012.2,0,0
2021-05-05,11.9,30.5,13.5,64.3,1013.5,0,0
2021-05-06,19.4,30.8,12.9,66.4,1011.2,0,0
2021-05-07,22.4,30.7,14.6,73.7,1012.4,0,0
2021-05-08,2.5,30.0,11.3,62.4,1013.2,0,0
2021-05-09,5.0,29.7,11.6,64.0,1013.4,0,0
2021-05-10,51.4,30.3,11.5,89.0,1012.9,0,0
2021-05-11,1.3,31.8,10.8,62.6,1011.6,0,0
2021-05-12,20.5,31.5,13.2,75.3,1011.2,0,0
2021-05-13,0.4,31.2,11.4,53.2,1010.8,0,0
2021-05-14,10.8,32.3,10.7,67.2,1010.7,0,0
2021-05-15,14.9,32.2,14.6,58.4,1011.2,0,0
